		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110000100  268  227  229  246  241  216  247  262  9.422885 0.307886 SUCCESS  98
110001000  270  240  259  249  229  215  234  235  9.296844 0.317877 SUCCESS  99
110001010  232  230  222  242  258  268  256  228  8.490818 0.387050 SUCCESS 100
110010000  235  254  240  225  253  244  247  220  5.222226 0.733582 SUCCESS 101
110010010  244  251  260  241  223  252  220  232  6.551482 0.585703 SUCCESS 102
110010100  241  253  236  241  258  260  231  209  8.536362 0.382902 SUCCESS 103
110011000  250  241  252  208  244  255  245  213 10.587970 0.226156 SUCCESS 104
110011010  245  258  260  242  256  235  247  267  5.107836 0.745991 SUCCESS 105
110100000  224  260  234  266  250  239  210  252 10.699182 0.219333 SUCCESS 106
110100010  241  255  232  244  240  239  256  236  2.225841 0.973293 SUCCESS 107
110100100  264  254  239  234  253  233  253  247  3.859077 0.869609 SUCCESS 108
110101000  223  226  275  224  243  257  261  246 10.966093 0.203628 SUCCESS 109
110101010  218  251  252  274  276  247  239  230 12.431981 0.132946 SUCCESS 110
110101100  259  279  240  238  251  237  265  236  8.862586 0.354020 SUCCESS 111
110110000  245  255  258  250  257  223  242  253  4.411963 0.818175 SUCCESS 112
110110010  262  242  240  243  229  266  254  225  6.409553 0.601457 SUCCESS 113
110110100  239  252  256  240  239  245  262  244  2.511816 0.961178 SUCCESS 114
110111000  224  248  242  244  237  278  245  269  9.500204 0.301870 SUCCESS 115
110111010  236  226  240  261  241  249  268  270  8.343593 0.400647 SUCCESS 116
110111100  275  223  249  235  240  249  271  244  9.615654 0.293044 SUCCESS 117
111000000  240  241  253  226  240  250  258  263  4.382306 0.821089 SUCCESS 118
111000010  244  223  225  238  261  227  233  264  8.246150 0.409802 SUCCESS 119
111000100  249  219  254  234  249  249  256  258  5.237055 0.731965 SUCCESS 120
111000110  240  266  274  257  239  255  262  228  9.650606 0.290410 SUCCESS 121
111001000  245  245  239  239  249  234  272  211  8.704770 0.367810 SUCCESS 122
111001010  236  251  248  249  271  223  229  214 10.408970 0.237486 SUCCESS 123
111001100  219  234  231  222  261  244  246  212 11.506268 0.174629 SUCCESS 124
111010000  238  241  221  281  254  239  222  271 13.885159 0.084808 SUCCESS 125
111010010  254  253  238  246  246  252  261  272  5.696733 0.681160 SUCCESS 126
111010100  214  216  259  247  221  249  260  266 13.629899 0.091937 SUCCESS 127
111010110  244  245  271  231  223  231  234  233  7.372337 0.497044 SUCCESS 128
111011000  248  235  261  226  248  227  236  250  4.746660 0.784278 SUCCESS 129
111011010  238  281  255  262  260  266  266  250 13.043120 0.110375 SUCCESS 130
111011100  231  220  203  214  228  249  244  276 19.712699 0.011479 SUCCESS 131
111100000  238  244  230  229  266  232  252  257  5.588698 0.693194 SUCCESS 132
111100010  256  215  275  218  235  229  265  251 14.489943 0.069856 SUCCESS 133
111100100  229  246  235  222  242  240  260  203 11.735048 0.163423 SUCCESS 134
111100110  265  241  252  209  286  238  258  231 16.510835 0.035625 SUCCESS 135
111101000  239  258  224  249  215  245  224  241  8.097866 0.423969 SUCCESS 136
111101010  216  241  248  267  218  266  234  244 11.026465 0.200204 SUCCESS 137
111101100  256  220  246  214  248  249  229  236  8.336179 0.401339 SUCCESS 138
111101110  205  234  219  243  262  241  247  273 14.561967 0.068244 SUCCESS 139
111110000  246  240  247  237  262  265  255  260  5.105718 0.746219 SUCCESS 140
111110010  249  239  251  217  279  243  261  220 12.359957 0.135852 SUCCESS 141
